"","gene","ctrl_ccl34b.1_neg_1","ctrl_ccl34b.1_neg_2","ctrl_ccl34b.1_pos_1","ctrl_ccl34b.1_pos_2","ecoli_ccl34b.1_neg_1","ecoli_ccl34b.1_neg_2","ecoli_ccl34b.1_neg_3","ecoli_ccl34b.1_pos_1","ecoli_ccl34b.1_pos_2","ecoli_ccl34b.1_pos_3","pbs_ccl34b.1_neg_1","pbs_ccl34b.1_neg_2","pbs_ccl34b.1_neg_3","pbs_ccl34b.1_neg_4","pbs_ccl34b.1_pos_1","pbs_ccl34b.1_pos_2","pbs_ccl34b.1_pos_3","pbs_ccl34b.1_pos_4"
"2848","ENSDARG00000089781",0,3.25336092401292,13.4383198016337,1.13140280754889,0,0,0,0,0,0,0,0,8.17855873291338,15.3519978954101,0,4.88626302289711,4.85256990390928,1.0854792989503
"2849","ENSDARG00000010042",0,0,0,0,0,0,0,0,0,14.0819819171485,0,0,0,14.2554266171665,0,0,0,17.3676687832049
"2850","ENSDARG00000063197",3.57152606914084,0,0,15.8396393056845,1.92588129987485,8.54081449659551,16.7381185749065,72.3669500355968,0,8.71741737728242,0,0,30.3775038651069,6.57942766946147,26.1331008061428,3.90901041831769,61.1423807892569,6.51287579370182
"2851","ENSDARG00000016594",0,0,31.7633013493159,0,0,0,0.269969654433975,0,0,0,0,0,0,0,0,0,0,0
"2852","ENSDARG00000037172",37.5010237259788,16.2668046200646,25.6549741667552,0,0,0,86.93022872774,0,0,8.04684680979916,0,0,0,22.2969493242861,0,12.7042838595325,48.5256990390928,16.2821894842546
"2853","ENSDARG00000104722",0,0,0,0,0,0,0,0.738438265669355,0,0,0,0,0,0.365523759414526,0,0,0,0
"2854","ENSDARG00000099226",8.92881517285211,0,4.88666174604861,83.7238077586182,0,0,0,67.1978821759113,22.8646574336667,33.5285283741631,0,0,286.249555651968,0.365523759414526,0,0,0,0
"2855","ENSDARG00000105237",10.7145782074225,0,0,0,0,0,0,0,0,0,1.21788050974075,0,36.2193315314736,1.4620950376581,0,0,0,0
"2856","ENSDARG00000038312",66.0732322791056,35.7869701641421,64.7482681351441,75.803988105776,335.745306611515,117.436199328188,154.692611990668,39.1372280804758,174.244458373805,83.1507503679246,4.871522038963,2.96918614331771,1.16836553327334,0.731047518829052,14.3475847563137,251.153919376912,110.638593809132,249.66023875857
"2857","ENSDARG00000081347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02482748259384,0,0,0
"2858","ENSDARG00000033355",3.57152606914084,50.4270943222002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2859","ENSDARG00000042090",0,3.25336092401292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2860","ENSDARG00000045982",0,0,2.4433308730243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2861","ENSDARG00000051783",878.595413008647,1031.31541291209,244.33308730243,506.868457781905,1784.0080441174,3736.60634226054,1287.21531234119,765.760481499121,865.703236626415,433.859157161671,895.142174659451,972.903326293769,801.498755825512,379.779186031693,325.382725723543,467.126744988964,510.490353891256,428.76432308537
"2862","ENSDARG00000081702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2863","ENSDARG00000083378",0,1.62668046200646,0,1.13140280754889,0.641960433291615,0,0.53993930886795,0,0.788436463229886,0,0,0,0,0,0,0.977252604579422,0,0
